2025-10-14 14:28:22 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-10-14 14:28:23 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.12 with PID 8144 (C:\Users\ADMIN\Desktop\importantTools\LessonRyWithReact\backend\ruoyi-admin-wms\target\classes started by ADMIN in C:\Users\ADMIN\Desktop\importantTools\LessonRyWithReact\backend)
2025-10-14 14:28:23 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-10-14 14:28:27 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-10-14 14:28:28 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-10-14 14:28:28 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-10-14 16:17:12 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-10-14 16:17:12 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.12 with PID 13824 (C:\Users\ADMIN\Desktop\importantTools\LessonRyWithReact\backend\ruoyi-admin-wms\target\classes started by ADMIN in C:\Users\ADMIN\Desktop\importantTools\LessonRyWithReact\backend)
2025-10-14 16:17:12 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-10-14 16:17:16 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-10-14 16:17:16 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-10-14 16:17:16 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-10-14 16:17:32 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-10-14 16:17:32 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.12 with PID 11344 (C:\Users\ADMIN\Desktop\importantTools\LessonRyWithReact\backend\ruoyi-admin-wms\target\classes started by ADMIN in C:\Users\ADMIN\Desktop\importantTools\LessonRyWithReact\backend)
2025-10-14 16:17:32 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-10-14 16:17:36 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-10-14 16:17:36 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-10-14 16:17:36 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-11-25 10:25:00 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-11-25 10:25:00 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.12 with PID 19696 (C:\Users\ADMIN\Desktop\ai\AIShuZiTouZi\backend\ruoyi-admin-wms\target\classes started by ADMIN in C:\Users\ADMIN\Desktop\ai\AIShuZiTouZi\backend)
2025-11-25 10:25:00 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-11-25 10:25:07 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-11-25 10:25:08 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-11-25 10:25:08 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-11-25 10:25:09 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@15549dd7
2025-11-25 10:25:09 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-11-25 10:25:09 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-11-25 10:25:09 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
